epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,7490.05,1.05004,1.50934,0.94082,1.25739,0.79537,0.66667,0.72017,0.46945,0.66601,0.55823,0.5174,0.1634,0.97766,0.9958,1.92372,0.94828,0.0011684,0.0011684,0.0011684
44,7662.7,1.04385,1.49269,0.9406,1.25448,0.82637,0.70722,0.7452,0.5068,0.69636,0.62651,0.57428,0.18392,0.93753,0.99025,1.9056,0.93739,0.0011486,0.0011486,0.0011486
45,7835.34,1.05253,1.49768,0.94866,1.26205,0.77924,0.71888,0.74495,0.52459,0.66877,0.60241,0.56666,0.18537,0.9096,0.98229,1.9634,0.93723,0.0011288,0.0011288,0.0011288
46,8007.7,1.03895,1.4943,0.94775,1.25359,0.7724,0.67068,0.7234,0.4986,0.66028,0.57028,0.56033,0.18355,0.93745,0.99641,2.54588,0.94356,0.001109,0.001109,0.001109
47,8180.39,1.04296,1.48955,0.94187,1.24987,0.82068,0.72289,0.74737,0.52433,0.71458,0.61044,0.55795,0.18724,0.91746,0.97144,1.99694,0.93159,0.0010892,0.0010892,0.0010892
48,8353.13,1.02787,1.47882,0.93191,1.24604,0.76253,0.70928,0.74102,0.50591,0.66271,0.61549,0.58505,0.19353,0.97884,1.00348,1.9784,0.93684,0.0010694,0.0010694,0.0010694
49,8525.5,1.01706,1.48592,0.93225,1.23907,0.80956,0.67871,0.7553,0.51735,0.69291,0.58902,0.56395,0.17754,0.92482,0.993,1.92839,0.93608,0.0010496,0.0010496,0.0010496
50,8698.03,1.01847,1.47392,0.92841,1.23145,0.80308,0.6747,0.74115,0.50416,0.73057,0.59894,0.5928,0.19053,0.93567,0.97274,1.81834,0.91031,0.0010298,0.0010298,0.0010298
51,8870.46,1.01631,1.48852,0.93145,1.23925,0.75269,0.74297,0.74994,0.5242,0.65328,0.65863,0.59283,0.19846,0.91155,0.98835,2.16122,0.90109,0.00101,0.00101,0.00101
52,9043.08,1.02708,1.51169,0.93159,1.24724,0.78605,0.72298,0.75288,0.53313,0.72579,0.61655,0.58873,0.18986,0.90479,0.98911,2.33849,0.92269,0.0009902,0.0009902,0.0009902
53,9215.84,1.01134,1.48529,0.9126,1.22764,0.79298,0.71888,0.7537,0.53156,0.70228,0.61446,0.59186,0.18425,0.9115,0.98848,1.85349,0.91319,0.0009704,0.0009704,0.0009704
54,9388.44,0.99909,1.47389,0.91934,1.2302,0.804,0.71084,0.75507,0.53107,0.70222,0.61446,0.57765,0.1881,0.87355,0.98134,2.43173,0.90025,0.0009506,0.0009506,0.0009506
55,9560.9,0.99297,1.44949,0.90051,1.22129,0.82168,0.71486,0.77061,0.54284,0.69128,0.62249,0.60295,0.19526,0.89056,0.98674,1.91775,0.90663,0.0009308,0.0009308,0.0009308
56,9733.51,1.00802,1.46807,0.90282,1.22961,0.76967,0.71486,0.74216,0.52041,0.66716,0.61847,0.57566,0.1815,0.88325,0.99216,2.63212,0.90316,0.000911,0.000911,0.000911
57,9906.05,0.99058,1.46645,0.88625,1.2161,0.80729,0.70281,0.76452,0.54444,0.72539,0.63052,0.62134,0.19832,0.88638,0.97668,1.92276,0.90166,0.0008912,0.0008912,0.0008912
58,10078.8,0.98821,1.47116,0.88638,1.21042,0.76346,0.73896,0.74404,0.53704,0.69572,0.6747,0.60356,0.19323,0.88216,0.98991,1.94927,0.90532,0.0008714,0.0008714,0.0008714
59,10251.1,0.98608,1.47145,0.87082,1.21668,0.80161,0.71486,0.76418,0.54937,0.70337,0.64257,0.60129,0.19328,0.85595,0.9839,2.39794,0.9019,0.0008516,0.0008516,0.0008516
60,10423.1,0.99742,1.47437,0.87951,1.21857,0.78545,0.72289,0.76257,0.54195,0.69475,0.63071,0.59495,0.19018,0.86205,0.99181,2.38258,0.90317,0.0008318,0.0008318,0.0008318
61,10595.5,0.97096,1.47175,0.86308,1.20127,0.75708,0.74297,0.76571,0.5635,0.69787,0.62151,0.59604,0.19731,0.83966,0.97767,2.04114,0.87877,0.000812,0.000812,0.000812
62,10767.8,0.98634,1.48296,0.87814,1.21505,0.80452,0.71888,0.7591,0.5456,0.72295,0.61446,0.59497,0.19256,0.84822,0.988,2.27939,0.88918,0.0007922,0.0007922,0.0007922
63,10940.1,0.97487,1.47181,0.8752,1.21247,0.86986,0.69795,0.78197,0.55775,0.76308,0.61044,0.59991,0.19564,0.87163,0.97953,1.84297,0.89884,0.0007724,0.0007724,0.0007724
64,11112.5,0.97103,1.45559,0.88216,1.20633,0.77731,0.72894,0.7614,0.55167,0.66787,0.63855,0.60103,0.20099,0.84779,0.9713,1.69141,0.8884,0.0007526,0.0007526,0.0007526
65,11285,0.96744,1.45956,0.86481,1.20137,0.78915,0.72149,0.75918,0.55221,0.70268,0.63855,0.6039,0.20724,0.87282,0.99042,1.58043,0.89376,0.0007328,0.0007328,0.0007328
66,11457.3,0.95595,1.44985,0.83658,1.19765,0.81995,0.73157,0.78998,0.56351,0.73781,0.62249,0.6056,0.19928,0.87668,0.98034,1.63429,0.90804,0.000713,0.000713,0.000713
