epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
48,4106.87,0.87675,1.43066,0.77323,1.06801,0.82503,0.73853,0.78541,0.58172,0.70594,0.63454,0.61877,0.20384,0.79695,0.97683,0.88418,0.85572,0.0010694,0.0010694,0.0010694
49,4190.6,0.87721,1.4237,0.77583,1.06975,0.81858,0.72485,0.78022,0.58164,0.70862,0.61044,0.59681,0.20014,0.79857,0.96557,0.85146,0.86221,0.0010496,0.0010496,0.0010496
50,4274.21,0.87043,1.4152,0.78149,1.06561,0.84355,0.73092,0.78126,0.58701,0.73695,0.63855,0.61382,0.21032,0.81345,0.97818,0.89323,0.88531,0.0010298,0.0010298,0.0010298
51,4357.42,0.87389,1.4231,0.7805,1.06291,0.8835,0.6988,0.79616,0.60009,0.77318,0.61446,0.64058,0.21642,0.76939,0.9645,0.97475,0.83445,0.00101,0.00101,0.00101
52,4441.19,0.87964,1.41843,0.76804,1.06771,0.89493,0.71833,0.78874,0.59047,0.7829,0.62275,0.62651,0.21119,0.79465,0.96718,0.85871,0.85256,0.0009902,0.0009902,0.0009902
53,4524.76,0.86449,1.41208,0.76088,1.06377,0.85552,0.71084,0.78463,0.58599,0.70196,0.63454,0.61854,0.20979,0.81025,0.95702,0.95588,0.8529,0.0009704,0.0009704,0.0009704
54,4608.54,0.86473,1.42367,0.77511,1.0615,0.81833,0.73494,0.79229,0.58858,0.70616,0.65863,0.61741,0.20715,0.78865,0.97259,0.983,0.84622,0.0009506,0.0009506,0.0009506
55,4691.79,0.85595,1.40496,0.75727,1.05399,0.85059,0.73092,0.79201,0.59485,0.74044,0.63855,0.62284,0.20964,0.78029,0.96225,0.94011,0.83865,0.0009308,0.0009308,0.0009308
56,4775.36,0.85489,1.412,0.76055,1.06272,0.85256,0.71486,0.79443,0.59198,0.75475,0.63052,0.63302,0.20934,0.78655,0.96879,1.00925,0.8414,0.000911,0.000911,0.000911
57,4859.19,0.84174,1.41237,0.75499,1.0534,0.84695,0.72289,0.79152,0.6074,0.75877,0.64426,0.64423,0.22298,0.74865,0.96638,1.01683,0.80982,0.0008912,0.0008912,0.0008912
58,4942.7,0.83783,1.40579,0.73737,1.04827,0.84131,0.74699,0.79956,0.59675,0.72449,0.65462,0.63738,0.21957,0.78151,0.96488,0.86763,0.84175,0.0008714,0.0008714,0.0008714
59,5026.35,0.86215,1.4296,0.77339,1.06214,0.8582,0.72919,0.80252,0.60888,0.7619,0.6297,0.62948,0.21649,0.76465,0.97499,0.89632,0.81678,0.0008516,0.0008516,0.0008516
60,5109.98,0.85076,1.40356,0.75042,1.05457,0.81682,0.74699,0.78148,0.59191,0.73724,0.67608,0.65276,0.23001,0.77769,0.95803,1.01589,0.81946,0.0008318,0.0008318,0.0008318
61,5193.26,0.8452,1.40588,0.75096,1.05424,0.82075,0.73554,0.77312,0.58053,0.71332,0.63954,0.61352,0.21102,0.78056,0.95934,1.21193,0.84653,0.000812,0.000812,0.000812
62,5276.8,0.84678,1.40013,0.72999,1.04833,0.83841,0.73494,0.79004,0.59041,0.75659,0.6506,0.65022,0.21669,0.79573,0.97281,0.8234,0.85052,0.0007922,0.0007922,0.0007922
63,5360.72,0.83139,1.39321,0.72795,1.04337,0.82468,0.74699,0.79032,0.60274,0.7059,0.67475,0.64502,0.22493,0.7712,0.97058,0.91559,0.83082,0.0007724,0.0007724,0.0007724
64,5444.5,0.82886,1.39816,0.73495,1.04186,0.81352,0.73583,0.78646,0.61226,0.74307,0.66265,0.66445,0.23013,0.75446,0.95241,0.83684,0.82522,0.0007526,0.0007526,0.0007526
65,5528.2,0.819,1.39431,0.69757,1.04553,0.83646,0.71895,0.78487,0.60936,0.78355,0.63052,0.66101,0.22985,0.74103,0.96049,0.86854,0.81459,0.0007328,0.0007328,0.0007328
66,5611.57,0.82022,1.39181,0.7194,1.04596,0.83897,0.71888,0.78625,0.59454,0.7314,0.62651,0.6213,0.20983,0.76355,0.96943,1.09035,0.83306,0.000713,0.000713,0.000713
67,5695.39,0.83192,1.39612,0.71744,1.04463,0.85298,0.74699,0.77961,0.59272,0.7558,0.64659,0.63826,0.21033,0.7655,0.95992,0.91398,0.83171,0.0006932,0.0006932,0.0006932
